[     671ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:17348
[     707ms] [LOG] Running application "main" with appParams:
 {rootTag: #root, hydrate: undefined} 
Development-level warnings: ON.
Performance optimizations: OFF. @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:40281
[     761ms] [WARNING] [expo-av]: Expo AV has been deprecated and will be removed in SDK 54. Use the `expo-audio` and `expo-video` packages to replace the required functionality. @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:199208
[     825ms] [WARNING] props.pointerEvents is deprecated. Use style.pointerEvents @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:23886
[   32807ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:8081/login:0
[ 2057679ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2067658ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2077721ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2087709ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2097649ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2107641ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2117649ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2127693ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2137633ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2147695ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2157657ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2167929ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2177651ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2187648ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2197756ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2207693ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2217646ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2227657ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2237653ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2247657ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2254253ms] [LOG] ✅ Order status updated: 9d11aabe-b8dc-421d-b41e-078f74406f4d → preparing @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:146299
[ 2257656ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2260089ms] [LOG] ✅ Order status updated: badeb3fc-896b-472f-8e0c-003f0af9c6a3 → preparing @ http://localhost:8081/node_modules/expo-router/entry.bundle?platform=web&dev=true&hot=false&lazy=true&transform.routerRoot=app:146299
[ 2267769ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2277701ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2287641ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2297690ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2307686ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2317725ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2334829ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
[ 2337656ms] [ERROR] Failed to load resource: the server responded with a status of 400 () @ https://zqubwvhstobaugifzoyb.supabase.co/rest/v1/orders?select=id%2Cdisplay_code%2Ccustomer_name%2Ccustomer_phone%2Ctotal_amount%2Corder_type%2Cdelivery_address%2Ctable_number%2Ccreated_at&company_id=eq.00000000-0000-0000-0000-000000000001&status=eq.pending&order=created_at.asc&limit=20:0
